127.0.0.1 - - [12/Mar/2024:08:48:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:35 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:35 +0900] "GET /BBS/custom.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:35 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:35 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:35 +0900] "GET /BBS/imgs/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:35 +0900] "GET /BBS/imgs/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:35 +0900] "GET /BBS/imgs/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:38 +0900] "GET /BBS/custom.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:38 +0900] "GET /BBS/custom.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:48:52 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:53:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:53:10 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:53:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:53:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:53:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:53:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:53:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:53:59 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:54:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:55:27 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3097
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:55:27 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:57:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:57:12 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:57:20 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:57:20 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:57:24 +0900] "GET /BBS/view.jsp?bbsID=24 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [12/Mar/2024:08:57:24 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
